CAMPAIGN_NAME,CAMPAIGN_TYPE,OBJECTIVE,TOTAL_ORDERS,AVG_DISCOUNT_PERCENTAGE
Generate Cross-Media Relationships,PROMOTIONAL,RETENTION,4368,7.38
Morph Cutting-Edge Eyeballs,DISCOUNT,RETENTION,6318,6.47
Transition Scalable Platforms,AWARENESS,ACQUISITION,2494,2.05
Strategize Compelling Portals,AWARENESS,BRAND AWARENESS,2610,3.23
Repurpose Next-Generation Schemas,PROMOTIONAL,BRAND AWARENESS,4425,6.3
Repurpose 24/7 Methodologies,DISCOUNT,BRAND AWARENESS,2751,8.36
Brand Cutting-Edge Deliverables,PROMOTIONAL,RETENTION,4619,6.17
Incentivize Customized Solutions,DISCOUNT,ACQUISITION,5613,7.62
Scale Cutting-Edge Markets,AWARENESS,RETENTION,3017,2.21
Synergize Extensible Experiences,LOYALTY,BRAND AWARENESS,2541,4.62
Leverage Turn-Key Experiences,AWARENESS,BRAND AWARENESS,2326,2.32
Innovate Cross-Platform Systems,PROMOTIONAL,RETENTION,4256,6.45
Grow Sticky Methodologies,PROMOTIONAL,BRAND AWARENESS,3587,5.52
Brand Turn-Key Niches,DISCOUNT,ENGAGEMENT,3394,6.68
Reinvent Leading-Edge Supply-Chains,AWARENESS,ENGAGEMENT,3812,2.5
Utilize Mission-Critical E-Commerce,LOYALTY,BRAND AWARENESS,2869,4.84
Seize Collaborative Content,PROMOTIONAL,ENGAGEMENT,3884,5.18
Deliver 24/365 Deliverables,PROMOTIONAL,ENGAGEMENT,4557,4.96
Synthesize Out-Of-The-Box Technologies,LOYALTY,RETENTION,4017,4.73
Expedite Dynamic Initiatives,AWARENESS,BRAND AWARENESS,2413,2.78
Transition Dynamic Info-Mediaries,AWARENESS,RETENTION,4509,2.4
Scale Distributed Info-Mediaries,PROMOTIONAL,ENGAGEMENT,3122,5.25
Orchestrate Next-Generation E-Tailers,LOYALTY,ENGAGEMENT,3986,4.72
Productize Robust Systems,LOYALTY,ACQUISITION,5445,3.6
Revolutionize Dot-Com Action-Items,AWARENESS,ACQUISITION,4464,1.96
Generate B2c Networks,DISCOUNT,BRAND AWARENESS,2601,6.8
Iterate Virtual Systems,PROMOTIONAL,ACQUISITION,4454,5.47
Envisioneer Proactive Architectures,DISCOUNT,BRAND AWARENESS,3674,8.0
Enable 24/365 Content,DISCOUNT,ENGAGEMENT,4295,9.35
Repurpose User-Centric Users,LOYALTY,BRAND AWARENESS,3310,5.13
Seize Holistic Synergies,AWARENESS,ENGAGEMENT,3009,2.58
Enhance Best-Of-Breed Bandwidth,LOYALTY,BRAND AWARENESS,2913,4.55
Empower Extensible Models,DISCOUNT,BRAND AWARENESS,3498,6.47
Enhance Rich Networks,AWARENESS,BRAND AWARENESS,2449,2.65
Optimize Wireless Communities,PROMOTIONAL,ENGAGEMENT,3652,5.4
Scale Viral Users,AWARENESS,ACQUISITION,5443,2.82
Integrate Dynamic Partnerships,AWARENESS,BRAND AWARENESS,2548,2.24
Extend User-Centric Solutions,PROMOTIONAL,ACQUISITION,4558,6.07
Enhance Integrated Relationships,AWARENESS,ACQUISITION,4351,3.42
Brand Impactful E-Services,AWARENESS,BRAND AWARENESS,1753,2.6
Maximize Wireless Vortals,PROMOTIONAL,RETENTION,5610,5.98
Grow Intuitive Functionalities,PROMOTIONAL,ENGAGEMENT,4762,6.22
Harness Holistic Portals,DISCOUNT,ACQUISITION,4691,7.17
Strategize Front-End Communities,PROMOTIONAL,ACQUISITION,6286,5.83
Optimize Dynamic Initiatives,AWARENESS,BRAND AWARENESS,2515,2.66
Transform World-Class Functionalities,AWARENESS,ENGAGEMENT,3327,2.7
Disintermediate World-Class Experiences,PROMOTIONAL,RETENTION,6423,5.0
Evolve Web-Enabled Networks,LOYALTY,RETENTION,4648,4.58
Cultivate Impactful Communities,AWARENESS,ACQUISITION,3079,2.9
Revolutionize Integrated Partnerships,AWARENESS,ENGAGEMENT,2185,3.38
Monetize Robust Models,PROMOTIONAL,RETENTION,4437,6.44
Engineer Proactive Channels,DISCOUNT,RETENTION,4963,10.14
Morph Magnetic Applications,DISCOUNT,BRAND AWARENESS,3564,6.74
Grow Cross-Media Markets,PROMOTIONAL,RETENTION,5237,6.37
Engineer Robust E-Tailers,LOYALTY,RETENTION,5335,4.69
Expedite Bleeding-Edge Networks,DISCOUNT,ACQUISITION,5527,10.18
Incentivize Mission-Critical Applications,PROMOTIONAL,RETENTION,6098,4.97
Extend Vertical Metrics,PROMOTIONAL,BRAND AWARENESS,3227,4.95
Re-Contextualize Value-Added Channels,LOYALTY,BRAND AWARENESS,4365,4.17
E-Enable Vertical Content,DISCOUNT,RETENTION,5607,5.17
Harness Value-Added Vortals,AWARENESS,RETENTION,2726,2.39
Syndicate Bricks-And-Clicks E-Business,LOYALTY,ENGAGEMENT,3334,4.06
Deliver Virtual Eyeballs,LOYALTY,BRAND AWARENESS,3409,4.66
Brand Intuitive Action-Items,LOYALTY,RETENTION,4662,4.79
Deliver Web-Enabled Relationships,PROMOTIONAL,ACQUISITION,6086,7.2
Utilize Strategic Web Services,AWARENESS,BRAND AWARENESS,2548,3.13
Empower Efficient Solutions,LOYALTY,ACQUISITION,5212,4.18
Generate Dot-Com Eyeballs,DISCOUNT,ENGAGEMENT,3448,6.59
Deliver Turn-Key Portals,PROMOTIONAL,BRAND AWARENESS,2616,6.05
Utilize Innovative E-Tailers,LOYALTY,RETENTION,4519,3.69
Incubate Back-End E-Business,AWARENESS,ENGAGEMENT,3349,3.57
Generate Web-Enabled E-Markets,PROMOTIONAL,BRAND AWARENESS,3460,6.62
Facilitate B2b Metrics,PROMOTIONAL,ENGAGEMENT,3337,5.25
Engineer Viral Infrastructures,DISCOUNT,ACQUISITION,5687,5.65
Synergize Cross-Media Content,PROMOTIONAL,ENGAGEMENT,4304,6.77
Enhance Back-End Info-Mediaries,AWARENESS,ENGAGEMENT,2189,2.6
Monetize Cross-Platform Content,PROMOTIONAL,ACQUISITION,5637,6.67
Brand Viral Niches,DISCOUNT,BRAND AWARENESS,3391,5.78
Visualize User-Centric Content,AWARENESS,BRAND AWARENESS,1660,2.36
Whiteboard Sticky Channels,AWARENESS,ACQUISITION,4082,2.66
Maximize Virtual Schemas,AWARENESS,BRAND AWARENESS,2596,2.64
